Timestamp,Source MAC,Destination MAC,Source IP,Destination IP
2025-10-24 01:40:17,5e:29:2c:49:ec:23,00:00:00:00:00:00,192.168.100.89,192.168.100.130
2025-10-24 01:43:44,5e:29:2c:49:ec:23,f8:a2:d6:e0:6f:d9,192.168.100.89,192.168.100.130
2025-10-24 01:43:44,f8:a2:d6:e0:6f:d9,5e:29:2c:49:ec:23,192.168.100.130,192.168.100.89
2025-10-24 01:43:48,f8:a2:d6:e0:6f:d9,5e:29:2c:49:ec:23,192.168.100.130,192.168.100.89
2025-10-24 01:43:48,5e:29:2c:49:ec:23,f8:a2:d6:e0:6f:d9,192.168.100.89,192.168.100.130
2025-10-24 02:08:41,f8:a2:d6:e0:6f:d9,5e:29:2c:49:ec:23,192.168.100.130,192.168.100.89
2025-10-24 02:08:41,5e:29:2c:49:ec:23,f8:a2:d6:e0:6f:d9,192.168.100.89,192.168.100.130
2025-10-24 02:09:53,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.2
2025-10-24 02:09:53,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,192.168.100.2,192.168.100.130
2025-10-24 02:10:19,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.80
2025-10-24 02:10:21,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.77
2025-10-24 02:10:31,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.123
2025-10-24 02:10:33,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.94
2025-10-24 02:15:41,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.67
2025-10-24 02:15:41,ce:be:d6:20:d7:e3,f8:a2:d6:e0:6f:d9,192.168.100.67,192.168.100.130
2025-10-24 02:24:08,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.130
2025-10-24 02:24:08,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,192.168.100.2
2025-10-24 02:24:58,5e:29:2c:49:ec:23,f8:a2:d6:e0:6f:d9,192.168.100.89,192.168.100.130
2025-10-24 02:24:58,f8:a2:d6:e0:6f:d9,5e:29:2c:49:ec:23,192.168.100.130,192.168.100.89
2025-10-24 02:25:03,f8:a2:d6:e0:6f:d9,5e:29:2c:49:ec:23,192.168.100.130,192.168.100.89
2025-10-24 02:25:03,5e:29:2c:49:ec:23,f8:a2:d6:e0:6f:d9,192.168.100.89,192.168.100.130
2025-10-24 02:34:54,ce:be:d6:20:d7:e3,f8:a2:d6:e0:6f:d9,192.168.100.67,192.168.100.130
2025-10-24 02:36:09,f8:a2:d6:e0:6f:d9,5e:29:2c:49:ec:23,192.168.100.130,192.168.100.89
2025-10-24 02:36:09,5e:29:2c:49:ec:23,f8:a2:d6:e0:6f:d9,192.168.100.89,192.168.100.130
